Set 1:
-0.13,-0.41,0.37,-0.17,-0.22
-0.27,-0.96,0.09,0.67,-0.56
0.09,0.76,-0.26,-0.25,-0.33
0.54,-0.58,0.29,-0.04,0.61
-0.92,-0.84,0.86,-0.09,-0.56

Set 2:
-0.63,0.98,0.97,-0.65,0.08
0.49,0.86,-0.80,0.38,0.82
0.19,-0.99,-0.90,0.07,0.43
-0.19,0.85,-0.93,0.29,0.88
0.32,0.96,0.11,0.63,-0.33

Set 3:
0.75,0.15,0.87,0.67,-0.50
-0.25,-0.01,0.99,-0.58,-0.69
-0.06,-0.40,-0.91,0.30,0.80
-0.52,-0.73,-0.49,0.95,-0.55
0.10,-0.95,0.36,-0.70,-0.29

Set 4:
-0.15,-0.49,0.02,-0.01,-0.50
-0.27,0.24,-0.90,-0.26,-0.12
-0.42,-0.13,-0.75,-0.04,-0.29
0.58,-0.39,-0.82,0.27,0.28
-0.25,0.39,0.60,0.21,0.53

Set 5:
0.10,0.00,-0.56,0.07,0.61
0.57,-0.40,-0.95,0.33,-0.64
0.35,-0.52,0.28,0.58,0.42
-0.99,0.17,-0.80,0.95,0.71
-0.18,-0.30,0.89,0.11,-0.17

Set 6:
0.41,0.70,0.90,-0.75,-0.35
0.37,0.47,0.65,-0.31,-0.49
-0.16,-0.71,-0.39,-0.26,-0.39
0.06,-0.77,0.45,-0.62,0.74
0.58,-0.83,0.81,-0.66,-0.60

