Set 1:
-1.14,0.81,-0.61,-0.23,-0.22
-0.27,-0.96,0.09,0.01,-1.18
-0.21,1.12,-0.42,0.35,-0.38
0.54,-0.31,0.62,-0.04,0.69
-0.67,-0.87,0.86,0.95,-0.45

Set 2:
0.13,0.98,0.28,-0.48,1.29
0.49,0.65,-0.39,-0.12,1.19
0.35,-1.04,-0.53,0.17,1.10
0.16,0.45,-0.85,0.42,0.19
0.32,0.02,-0.37,0.63,-1.20

Set 3:
0.75,0.15,-0.62,-0.72,0.40
-0.25,-0.41,0.99,-0.79,-0.69
-0.10,-0.61,-1.33,0.76,0.01
-0.64,1.04,-0.49,-0.03,-0.39
-0.36,-1.30,0.60,-0.70,0.43

Set 4:
0.76,-0.28,0.02,0.47,0.49
-0.96,0.24,-0.90,0.67,-0.12
0.44,-1.21,-0.75,0.27,-0.07
-0.48,0.35,-0.82,-0.36,0.28
-0.05,0.56,0.60,0.38,0.91

Set 5:
0.10,-0.59,-0.82,0.67,0.64
1.11,0.90,0.49,0.50,-0.28
0.45,-0.44,0.28,0.58,0.99
-0.97,0.17,-0.80,0.61,1.18
-1.16,-0.29,-0.43,0.11,-0.17

Set 6:
0.41,0.61,-0.87,-0.75,-0.35
0.37,0.09,0.01,-0.31,-0.37
0.83,-0.72,0.67,0.19,-0.39
0.06,-0.20,-0.21,-0.63,-0.92
0.58,0.64,-0.32,-0.19,-0.85

