Set 1:
0.03,0.94,-0.64,0.70,0.99
-0.95,0.13,-0.85,-0.73,0.18
-0.81,-0.98,0.27,-0.60,0.61
0.72,-0.06,-0.68,-0.78,-0.15
-0.86,0.45,-0.62,-0.62,-0.14

Set 2:
-0.38,-0.35,0.20,-0.98,0.99
0.30,-0.12,0.72,0.29,-0.59
0.62,0.33,-0.61,-0.10,0.49
-0.32,-0.14,-0.77,0.92,-0.34
-0.46,0.93,0.82,0.43,0.33

Set 3:
-0.94,0.70,-0.42,-0.59,0.35
-0.58,0.68,-0.50,0.02,0.96
-0.41,-0.48,-0.19,0.66,0.17
-0.02,0.08,0.12,0.12,0.38
-0.94,0.90,0.08,0.34,-0.73

Set 4:
-0.65,0.47,-0.90,0.77,-0.63
0.49,0.02,0.57,0.64,0.16
0.26,0.32,-0.86,-0.39,0.05
-0.29,-0.72,-0.75,0.20,-0.32
0.21,-0.25,0.17,-0.81,0.93

Set 5:
-0.43,-0.13,-0.11,-0.61,-0.66
-0.84,0.91,-0.37,0.86,0.33
-0.81,-0.84,0.77,-0.09,-0.25
0.64,-0.37,0.88,0.07,0.62
-0.12,-0.79,0.03,0.30,-0.71

Set 6:
0.62,0.05,0.17,0.90,0.89
-0.02,0.26,-0.54,-0.84,0.01
0.47,-0.08,0.31,0.65,0.96
-0.64,0.31,-0.28,-0.24,-0.27
1.00,0.73,0.92,0.61,-0.62

