Set 1:
-0.31,0.51,0.51,-0.17,0.98
-0.20,-0.96,0.09,-1.03,-0.41
-0.22,-0.46,-0.26,-0.71,-0.33
0.67,-0.04,0.61,-0.58,0.92
-0.71,0.03,1.18,0.33,0.06

Set 2:
-0.73,-0.18,0.30,-0.96,0.08
-0.72,-0.13,-0.66,0.38,0.82
-0.06,0.33,0.25,0.91,-0.01
-0.19,0.85,-0.01,-0.37,1.26
-0.71,0.56,0.72,0.63,-0.42

Set 3:
0.63,0.15,0.64,0.94,-0.50
-0.25,-0.97,-0.12,-0.58,-0.69
0.57,0.27,-0.91,-0.53,0.40
-0.05,-1.01,-0.49,0.95,0.83
-0.92,-0.95,0.36,-0.70,-0.29

Set 4:
0.00,-0.49,0.52,0.81,-0.50
0.47,0.24,-0.69,-0.60,-0.31
0.79,-0.13,0.29,-0.09,0.54
0.61,-0.34,-1.15,-0.97,-0.38
0.62,-0.85,0.60,0.34,1.03

Set 5:
0.64,0.89,-0.88,0.49,-0.38
-0.22,-0.40,-0.54,0.64,-0.45
0.83,-0.31,-0.45,0.85,0.42
0.82,0.10,-0.77,1.20,0.50
-0.12,-0.79,0.89,0.43,0.93

Set 6:
-0.50,-0.79,0.49,-0.08,-0.58
0.01,0.01,0.65,-0.99,-0.49
-0.16,0.55,-0.39,-0.26,-0.49
-0.32,-0.61,0.79,-0.62,0.74
0.58,-1.26,0.18,-0.43,-0.01

